name,symbol,cap,market
한화시스템,272210,12180,kospi
라파스,214260,1331,kosdaq
아이티엠반도체,084850,7977,kosdaq
미래에셋대우스팩4호,333430,88,kosdaq
자이에스앤디,317400,1553,kospi
미디어젠,279600,396,kosdaq
하나금융14호스팩,332710,89,kosdaq
신한제6호스팩,333050,101,kosdaq
티라유텍,322180,1030,kosdaq
롯데리츠,330590,11264,kospi
지누스,013890,12886,kospi
교보9호스팩,331520,78,kosdaq
캐리소프트,317530,568,kosdaq
한국미라클피플사,331660,199,konex
케이엔제이,272110,646,kosdaq
엔바이오니아,317870,660,kosdaq
팜스빌,318010,900,kosdaq
두산솔루스,336370,6091,kospi
두산퓨얼셀,336260,4426,kospi
라온피플,300120,1756,kosdaq
제이콘텐트리,036420,5431,kospi
아톤,158430,1619,kosdaq
녹십자웰빙,234690,1793,kosdaq
대신밸런스제7호스팩,332290,105,kosdaq
유진스팩5호,331380,82,kosdaq
엔지브이아이,093510,37,konex
케이비제19호스팩,330990,88,kosdaq
올리패스,244460,3132,kosdaq
라닉스,317120,698,kosdaq
하나금융13호스팩,320000,70,kosdaq
한독크린텍,256150,684,kosdaq
아퓨어스,149300,530,konex
상상인이안제2호스팩,329560,78,kosdaq
네오크레마,311390,776,kosdaq
마니커에프앤지,195500,921,kosdaq
미래에셋대우스팩3호,328380,132,kosdaq
나노브릭,286750,490,kosdaq
에스피시스템스,317830,563,kosdaq
레이,228670,2458,kosdaq
그린플러스,186230,527,kosdaq
케어룸의료산업,327970,130,konex
코윈테크,282880,2357,kosdaq
덕산테코피아,317330,3326,kosdaq
슈프리마아이디,317770,584,kosdaq
한국바이오젠,318000,631,kosdaq
세경하이테크,148150,3368,kosdaq
윌링스,313760,627,kosdaq
대모,317850,585,kosdaq
에이스토리,241840,924,kosdaq
플리토,300080,1125,kosdaq
이베스트이안스팩1호,323210,66,kosdaq
구스앤홈,329050,172,konex
세틀뱅크,234340,2979,kosdaq
아이스크림에듀,289010,1006,kosdaq
펨토바이오메드,327610,630,konex
펌텍코리아,251970,2362,kosdaq
에이에프더블류,312610,1388,kosdaq
티티씨디펜스,309900,599,konex
신영스팩5호,323280,73,kosdaq
케이비제18호스팩,323940,159,kosdaq
신한제5호스팩,323230,89,kosdaq
압타바이오,293780,2002,kosdaq
까스텔바작,308100,696,kosdaq
마이크로디지탈,305090,577,kosdaq
원바이오젠,278380,184,konex
DB금융스팩7호,322780,94,kosdaq
유진스팩4호,321260,72,kosdaq
포스코케미칼,003670,28573,kospi
수젠텍,253840,818,kosdaq
컴퍼니케이,307930,1380,kosdaq
다원넥스뷰,323350,131,konex
피에스케이,319660,2517,kosdaq
엔에이치스팩14호,319400,177,kosdaq
SNK,950180,3939,kosdaq
한화에스비아이스팩,317320,139,kosdaq
하이제4호스팩,317240,91,kosdaq
이노벡스,279060,88,konex
아모그린텍,125210,1399,kosdaq
현대오토에버,307950,1710,kospi
지노믹트리,228760,4277,kosdaq
케이비17호스팩,317030,114,kosdaq
이지케어텍,099750,1089,kosdaq
유안타제4호스팩,313750,95,kosdaq
미래에셋벤처투자,100790,1492,kosdaq
드림텍,192650,4266,kospi
더블유게임즈,192080,8975,kospi
에코프로비엠,247540,172,kosdaq
셀리드,299660,2487,kosdaq
우리금융지주,316140,86311,kospi
천보,278280,5870,kosdaq
이노테라피,246960,714,kosdaq
노랑풍선,104620,779,kosdaq
웹케시,053580,2841,kosdaq
엘에이티,311060,104,konex
대원모방,311840,368,konex
에어부산,298690,4009,kospi
비피도,238200,1129,kosdaq
지놈앤컴퍼니,314130,2731,konex
키움제5호스팩,311270,74,kosdaq
엔에이치스팩13호,310840,71,kosdaq
유틸렉스,263050,4498,kosdaq
디케이티,290550,1074,kosdaq
미래에셋대우스팩2호,310200,63,kosdaq
신영스팩4호,307180,99,kosdaq
테크엔,308700,74,konex
삼성머스트스팩3호,309930,96,kosdaq
위지윅스튜디오,299900,1525,kosdaq
한국제8호스팩,310870,72,kosdaq
대신밸런스제6호스팩,307750,103,kosdaq
에이비엘바이오,298380,9332,kosdaq
프로테옴텍,303360,591,konex
머큐리,100590,1335,kosdaq
전진바이오팜,110020,392,kosdaq
뉴트리,270870,1368,kosdaq
상상인이안1호스팩,307870,98,kosdaq
이노메트리,302430,1469,kosdaq
SK4호스팩,307070,106,kosdaq
대유에이피,290120,946,kosdaq
교보8호스팩,307280,80,kosdaq
에코캡,128540,453,kosdaq
베스파,299910,1271,kosdaq
비엔에프코퍼레이션,271780,51,konex
윙입푸드,900340,883,kosdaq
하나머스트제6호스팩,307160,96,kosdaq
남화산업,111710,3006,kosdaq
엠아이텍,179290,1351,kosdaq
티로보틱스,117730,591,kosdaq
네오펙트,290660,597,kosdaq
에이펙스인텍,207490,491,konex
티앤알바이오팹,246710,876,kosdaq
나라소프트,288490,116,konex
아시아나IDT,267850,2797,kospi
디알젬,263690,951,kosdaq
싸이토젠,217330,668,kosdaq
아주IB투자,027360,1383,kosdaq
파멥신,208340,2958,kosdaq
디케이앤디,263020,488,kosdaq
아이엘사이언스,122050,340,konex
디자인,227100,258,kosdaq
노바렉스,194700,1949,kosdaq
셀리버리,268600,4770,kosdaq
대보마그네틱,290670,795,kosdaq
노바텍,285490,786,kosdaq
엘앤씨바이오,290650,1671,kosdaq
DB금융스팩6호,306620,98,kosdaq
로보티즈,108490,1288,kosdaq
옵티팜,153710,1331,kosdaq
에스퓨얼셀,288620,1091,kosdaq
세아제강,306200,1736,kospi
나우아이비캐피탈,293580,430,kosdaq
푸드나무,290720,1143,kosdaq
하나제약,293480,3734,kospi
크리스에프앤씨,110790,2296,kosdaq
IBKS제10호스팩,299170,89,kosdaq
지티지웰니스,219750,445,kosdaq
우진아이엔에스,010400,636,kospi
명성티엔에스,257370,870,kosdaq
삼성스팩2호,291230,155,kosdaq
엔솔바이오사이언스,140610,788,konex
디지캡,197140,339,kosdaq
지니틱스,303030,992,kosdaq
액트로,290740,1214,kosdaq
오파스넷,173130,260,kosdaq
에이피티씨,089970,1473,kosdaq
바이오솔루션,086820,2788,kosdaq
리메드,302550,958,konex
더콘텐츠온,302920,556,konex
대유,290380,1100,kosdaq
신한알파리츠,293940,4020,kospi
디아이티,110990,1606,kosdaq
에스에스알,275630,381,kosdaq
한일시멘트,300720,4095,kospi
휴네시온,290270,509,kosdaq
티웨이항공,091810,2485,kospi
롯데정보통신,286940,6936,kospi
한국유니온제약,080720,841,kosdaq
그리티,204020,608,kosdaq
알로이스,297570,434,kosdaq
올릭스,226950,2606,kosdaq
테크트랜스,258050,144,konex
효성중공업,298040,2541,kospi
효성첨단소재,298050,4883,kospi
효성티앤씨,298020,7141,kospi
효성화학,298000,4929,kospi
아이큐어,175250,2001,kosdaq
SV인베스트먼트,289080,1001,kosdaq
엘리비젼,276240,27,konex
지앤이헬스케어,299480,200,konex
이리츠코크렙,088260,4611,kospi
EDGC,245620,2105,kosdaq
에스엠비나,299670,185,konex
HDC현대산업개발,294870,12720,kospi
하나금융11호스팩,284620,113,kosdaq
파워넷,037030,534,kosdaq
현대사료,016790,830,kosdaq
세종메디칼,258830,569,kosdaq
제노레이,122310,1100,kosdaq
디피코,163430,82,konex
한국제7호스팩,291210,103,kosdaq
다이노나,086080,824,konex
유안타제3호스팩,287410,88,kosdaq
에스제이켐,217910,43,konex
JTC,950170,2828,kosdaq
네오셈,253590,475,kosdaq
위세아이텍,065370,340,konex
케어랩스,263700,980,kosdaq
애경산업,018250,7685,kospi
에코마이스터,064510,686,kosdaq
린드먼아시아,277070,558,kosdaq
오스테오닉,226400,261,kosdaq
엔지켐생명과학,183490,4786,kosdaq
동구바이오제약,006620,1599,kosdaq
아시아종묘,154030,545,kosdaq
알리코제약,260660,1492,kosdaq
셀트리온,068270,237422,kospi
카페24,042000,5064,kosdaq
링크제니시스,219420,843,kosdaq
배럴,267790,930,kosdaq
SG,255220,929,kosdaq
씨앤지하이테크,264660,674,kosdaq
쿠쿠홈시스,284740,8952,kospi
SK케미칼,285130,6317,kospi
시스웍,269620,450,kosdaq
TS트릴리온,284610,751,konex
라이프사이언스테크놀로지,285770,96,konex
한국제6호스팩,281410,93,kosdaq
디바이스이엔지,187870,695,kosdaq
바이오시네틱스,281310,188,konex
씨알푸드,236030,297,konex
동부스팩5호,281740,112,kosdaq
휴럼,284420,309,konex
BGF리테일,282330,31111,kospi
동양피스톤,092780,629,kospi
진에어,272450,4590,kospi
씨티케이코스메틱스,260930,1361,kosdaq
메카로,241770,1330,kosdaq
에스트래픽,234300,895,kosdaq
케이씨텍,281820,3641,kospi
체리부로,066360,768,kosdaq
대원,007680,1359,kosdaq
비즈니스온,138580,1422,kosdaq
동아타이어,282690,1682,kospi
삼양패키징,272550,2309,kospi
한화에이스스팩4호,279410,72,kosdaq
스튜디오드래곤,253450,22139,kosdaq
IBKS제7호스팩,276920,76,kosdaq
비디아이,148140,658,kosdaq
코오롱티슈진,950160,4896,kosdaq
테이팩스,055490,1052,kospi
파인이엠텍,278990,163,konex
롯데제과,280360,9112,kospi
티에스아이,277880,1359,konex
탑선,180060,993,konex
영화테크,265560,615,kosdaq
세원,234100,701,kosdaq
신한제4호스팩,277480,124,kosdaq
상신전자,263810,469,kosdaq
야스,255440,2762,kosdaq
인산가,277410,498,kosdaq
블러썸엠앤씨,263920,773,kosdaq
신흥에스이씨,243840,2323,kosdaq
유티아이,179900,2816,kosdaq
선익시스템,171090,739,kosdaq
엠플러스,259630,842,kosdaq
앱클론,174900,2827,kosdaq
샘코,263540,651,kosdaq
펄어비스,263750,26554,kosdaq
두원석재,270020,81,konex
케이피에스,256940,649,kosdaq
시그넷이브이,260870,447,konex
덕우전자,263600,1163,kosdaq
명진홀딩스,267060,195,konex
이더블유케이,258610,797,kosdaq
하나금융10호스팩,270520,103,kosdaq
알에스오토메이션,140670,892,kosdaq
컬러레이,900310,1072,kosdaq
엔에이치스팩12호,273060,155,kosdaq
모트렉스,118990,880,kosdaq
데이타솔루션,263800,643,kosdaq
지니언스,263860,436,kosdaq
디앤씨미디어,263720,1764,kosdaq
셀트리온헬스케어,091990,75130,kosdaq
이즈미디어,181340,380,kosdaq
루켄테크놀러지스,162120,97,konex
에브리봇,270660,75,konex
한국제5호스팩,271740,82,kosdaq
힘스,238490,1389,kosdaq
제일약품,271980,5058,kospi
브이원텍,251630,1350,kosdaq
아우딘퓨쳐스,227610,839,kosdaq
이녹스첨단소재,272290,5106,kosdaq
카카오,035720,128781,kospi
오리온,271560,42501,kospi
하림지주,003380,8310,kosdaq
메디안디노스틱,233250,716,konex
하나금융9호스팩,261200,90,kosdaq
교보7호스팩,267320,97,kosdaq
다이오진,271850,36,konex
에스알바이오텍,270210,25,konex
앤유엔터테인먼트,266170,155,konex
보라티알,250000,746,kosdaq
한화수성스팩,265920,91,kosdaq
매일유업,267980,7028,kosdaq
삼양옵틱스,225190,1305,kosdaq
IBKS제6호스팩,264850,88,kosdaq
필옵틱스,161580,1547,kosdaq
미래에셋대우스팩1호,265480,99,kosdaq
SGA임베디드,224880,147,konex
미원에스씨,268280,3777,kospi
경동도시가스,267290,1271,kospi
넷마블,251270,75796,kospi
오렌지라이프,079440,23534,kospi
현대건설기계,267270,5694,kospi
현대일렉트릭,267260,1832,kospi
현대중공업지주,267250,55130,kospi
포인트엔지니어링,256630,1114,kosdaq
한화에이스스팩3호,264290,63,kosdaq
앙츠,267810,43,konex
하나머티리얼즈,166090,3297,kosdaq
와이엠티,251370,2259,kosdaq
케이비제11호스팩,258790,66,kosdaq
엠앤씨생명과학,225860,62,konex
파워풀엑스,266870,119,konex
크라운제과,264900,1066,kospi
AP시스템,265520,4540,kosdaq
유에스티,263770,947,kosdaq
이엘피,063760,518,kosdaq
유비쿼스,264450,1437,kosdaq
서진시스템,178320,4570,kosdaq
코미코,183300,2277,kosdaq
아스타,246720,733,kosdaq
덴티움,145720,6486,kospi
에스디생명공학,217480,1148,kosdaq
신신제약,002800,1076,kosdaq
에프엔에스테크,083500,487,kosdaq
모바일어플라이언스,087260,798,kosdaq
피씨엘,241820,820,kosdaq
호전실업,111110,1184,kospi
서플러스글로벌,140070,873,kosdaq
유바이오로직스,206650,1841,kosdaq
케미메디,205290,202,konex
에스앤디,260970,356,konex
엔에이치스팩11호,256840,176,kosdaq
포레스팅블록체인,227420,30,konex
전우정밀,120780,136,konex
피엔아이컴퍼니,242350,171,konex
퓨전데이타,195440,315,kosdaq
DSC인베스트먼트,241520,644,kosdaq
TS인베스트먼트,246690,565,kosdaq
셀젠텍,258250,431,konex
마이크로프랜드,147760,575,kosdaq
현성바이탈,204990,682,kosdaq
바이오프로테크,199290,107,konex
애니젠,196300,507,kosdaq
유니온커뮤니티,203450,396,kosdaq
신라젠,215600,11866,kosdaq
IBKS제5호스팩,254120,94,kosdaq
핸즈코퍼레이션,143210,1565,kospi
오션브릿지,241790,971,kosdaq
퓨쳐켐,220100,848,kosdaq
뉴파워프라즈마,144960,1650,kosdaq
엘앤케이바이오,156100,756,kosdaq
스템랩,258540,350,konex
시큐센,232830,161,konex
에이치엔티,176440,2298,kosdaq
핸디소프트,220180,442,kosdaq
두산밥캣,241560,31679,kospi
비플라이소프트,148780,98,konex
삼성바이오로직스,207940,259698,kospi
클리오,237880,3283,kosdaq
오가닉티코스메틱,900300,1082,kosdaq
로고스바이오,238120,439,kosdaq
세화피앤씨,252500,576,kosdaq
굿센,243870,192,konex
인크로스,216050,1809,kosdaq
에이치엘사이언스,239610,3013,kosdaq
코스메카코리아,241710,1335,kosdaq
JW생명과학,234080,3309,kospi
GRT,900290,1570,kosdaq
안지오랩,251280,291,konex
골든센츄리,900280,372,kosdaq
인텔리안테크,189300,2598,kosdaq
에이치시티,072990,672,kosdaq
잉글우드랩,950140,928,kosdaq
앤디포스,238090,2761,kosdaq
수산아이앤티,050960,437,kosdaq
미투온,201490,2082,kosdaq
화승엔터프라이즈,241590,179,kospi
예선테크,250930,932,kosdaq
유쎌,252370,52,konex
LS전선아시아,229640,2407,kospi
모두투어리츠,204210,246,kospi
유니테크노,241690,1180,kosdaq
모비스,250060,787,kosdaq
엠에프엠코리아,251960,339,konex
나무기술,242040,842,kosdaq
자이글,234920,934,kosdaq
일동제약,249420,3945,kospi
헝셩그룹,900270,924,kosdaq
피엔에이치테크,239890,229,konex
샘표식품,248170,1412,kospi
에코마케팅,230360,5410,kosdaq
티케이씨,191600,1026,konex
팍스넷,038160,836,kosdaq
두올,016740,930,kospi
엔지스테크널러지,208860,555,kosdaq
우리손에프앤지,073560,1454,kosdaq
휴벡셀,212310,53,konex
에스케이씨에스,224020,39,konex
아이에이네트웍스,123010,429,kosdaq
제노텍,066830,93,konex
동서,026960,17497,kospi
장원테크,174880,840,kosdaq
위니아딤채,071460,1047,kosdaq
한국자산신탁,123890,3984,kospi
한국토지신탁,034830,5416,kospi
인프라웨어테크놀러지,247300,23,konex
바이오리더스,142760,1409,kosdaq
피앤씨테크,237750,392,kosdaq
로스웰,900260,733,kosdaq
에스엘에스바이오,246250,376,konex
씨앤에스링크,245450,32,konex
해성디에스,195870,2440,kospi
녹십자랩셀,144510,3704,kosdaq
에스티팜,237690,3890,kosdaq
알엔투테크놀로지,148250,820,kosdaq
이비테크,208850,79,konex
줌인터넷,239340,1438,kosdaq
휴온스,243070,4384,kosdaq
나눔테크,244880,146,konex
KC산업,112190,182,konex
용평리조트,070960,3167,kospi
해태제과식품,101530,2239,kospi
원익IPS,240810,15633,kosdaq
엠로,058970,113,konex
이에스산업,241510,275,konex
인터코스,240340,77,konex
로보쓰리,238500,33,konex
레이언스,228850,2016,kosdaq
씨엠에스에듀,225330,991,kosdaq
동양파일,228340,743,kosdaq
대림씨엔에스,004440,978,kospi
팬젠,222110,850,kosdaq
바이옵트로,222160,116,konex
AP위성,211270,997,kosdaq
솔트웍스,230980,706,kosdaq
큐리언트,115180,1839,kosdaq
안트로젠,065660,3906,kosdaq
슈프리마,236200,1855,kosdaq
제이에스코퍼레이션,194370,1827,kospi
아이엠텍,226350,356,kosdaq
유니트론텍,142210,608,kosdaq
크리스탈신소재,900250,1346,kosdaq
한솔씨앤피,221610,274,kosdaq
메디젠휴먼케어,236340,263,konex
선바이오,067370,1496,konex
볼빅,206950,271,konex
이엠티,232530,311,konex
에스와이,109610,1028,kosdaq
질경이,233990,316,konex
코디엠,224060,846,kosdaq
코리아오토글라스,152330,3450,kospi
잇츠한불,226320,4188,kospi
지오씨,135160,178,konex
크로넥스,215570,126,konex
와이아이케이,232140,1659,kosdaq
육일씨엔에쓰,191410,252,kosdaq
이에스브이,223310,283,kosdaq
휴젤,145020,19921,kosdaq
한국맥널티,222980,430,kosdaq
덱스터,206560,2276,kosdaq
아진산업,013310,1070,kosdaq
강스템바이오텍,217730,1597,kosdaq
씨트리,047920,745,kosdaq
에이원알폼,234070,236,konex
메가엠디,133750,873,kosdaq
한국비엔씨,226610,811,konex
보광산업,225530,1775,kosdaq
파크시스템스,140860,2339,kosdaq
에치에프알,230240,2564,kosdaq
예스티,122640,1442,kosdaq
코스맥스엔비티,222040,1250,kosdaq
라온테크,232680,170,konex
멕아이씨에스,058110,211,kosdaq
에이치엔에스하이텍,044990,293,konex
미애부,225850,77,konex
엔에스,217820,580,kosdaq
미래테크놀로지,213090,557,kosdaq
세진중공업,075580,1790,kospi
하이즈항공,221840,899,kosdaq
리드,197210,189,kosdaq
캔서롭,180400,1713,kosdaq
매직마이크로,127160,759,kosdaq
케이디켐,221980,494,kosdaq
네오오토,212560,395,kosdaq
마이크로텍,227950,379,kosdaq
자비스,230400,249,konex
케어젠,214370,8218,kosdaq
아이진,185490,1263,kosdaq
인카금융서비스,211050,260,konex
나무가,190510,1424,kosdaq
유앤아이,056090,511,kosdaq
금호에이치티,214330,1338,kospi
제주항공,089590,6550,kospi
본느,226340,1231,kosdaq
파마리서치바이오,217950,409,konex
연우,115960,2914,kosdaq
럭스피아,092590,69,konex
노브메타파마,229500,3760,konex
젠큐릭스,229000,750,konex
엔케이맥스,182400,3326,kosdaq
현대코퍼레이션홀딩스,227840,1101,kospi
엑시콘,092870,539,kosdaq
이엑스티,226360,1142,kosdaq
티씨엠생명과학,228180,604,konex
엄지하우스,224810,142,konex
메디쎄이,200580,250,konex
뉴지랩,214870,3023,kosdaq
케이엠제약,225430,513,kosdaq
한송네오텍,226440,552,kosdaq
패션플랫폼,225590,360,kosdaq
LIG넥스원,079550,7172,kospi
넷게임즈,225570,1949,kosdaq
제너셈,217190,274,kosdaq
타이거일렉,219130,310,kosdaq
HDC아이콘트롤스,039570,1934,kospi
동일제강,002690,385,kospi
인포마크,175140,437,kosdaq
카이노스메드,220250,2110,konex
씨아이에스,222080,1279,kosdaq
해마로푸드서비스,220630,2471,kosdaq
에이텍티앤,224110,448,kosdaq
웹스,196700,279,kosdaq
AJ네트웍스,095570,1981,kospi
파인텍,131760,689,kosdaq
한류AI센터,222810,339,kosdaq
심텍,222800,2526,kosdaq
흥국에프엔비,189980,752,kosdaq
쎄노텍,222420,879,kosdaq
칩스앤미디어,094360,680,kosdaq
제놀루션,225220,217,konex
아시아경제,127710,529,kosdaq
엔에스컴퍼니,224760,3404,konex
아이쓰리시스템,214430,1201,kosdaq
로지시스,067730,374,kosdaq
플럼라인생명과학,222670,165,konex
켐트로스,220260,869,kosdaq
파마리서치프로덕트,214450,3287,kosdaq
MP한강,219550,625,kosdaq
펩트론,087010,2153,kosdaq
이노션,214320,13360,kospi
토니모리,214420,1764,kospi
네추럴FNP,086220,199,konex
아이피몬스터,223220,28,konex
미래에셋생명,085620,7691,kospi
RFHIC,218410,8049,kosdaq
동운아나텍,094170,795,kosdaq
민앤지,214180,2175,kosdaq
유테크,178780,557,kosdaq
경보제약,214390,2049,kospi
바이오코아,216400,242,konex
유투바이오,221800,193,konex
에스엔텍비엠,160600,716,kosdaq
켐온,217600,983,kosdaq
코아스템,166480,1529,kosdaq
세미콘라이트,214310,559,kosdaq
드림티엔터테인먼트,220110,71,konex
SK디앤디,210980,5735,kospi
미코바이오메드,214610,817,konex
씨앗,103660,77,konex
베셀,177350,456,kosdaq
넵튠,217270,1596,kosdaq
미래생명자원,218150,567,kosdaq
싸이맥스,160980,1018,kosdaq
러셀,217500,687,kosdaq
